turbine_id,valid_time,nominal_lead_time_hours,raw_predicted_power,predicted_power,prediction_bounded,weather_out_of_training_range,baseline_prediction,wind_speed,temperature,forecast_origin,hours_ahead,model_training_max,model_training_available_at,model_id,weather_model,forecast_contract_compatible,power_normalized,observed_wind_speed,observed_temperature,absolute_error
turbine_1,2026-01-08 22:00:00+00:00,48,0.9951198131315943,0.9951198131315943,False,False,0.9769763513513514,13.19,-2.9,2026-01-07 19:00:00+00:00,27.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,d9ca0c6a5930d42d4dbeb0eca8311454a62a8d0e173a3ec109b6de3a2c3603ba,gfs_seamless,False,0.01,2.9800000000000004,-4.655,0.9851198131315942
turbine_2,2026-01-09 01:00:00+00:00,48,0.9927408590757416,0.9916666666666667,True,False,0.9628097193702942,12.78,-3.3,2026-01-07 19:00:00+00:00,30.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,a487cc2b6e1a9315da2330fa57ea18707cd53be4b982cea35204481102efd30d,gfs_seamless,False,0.008333333333333333,3.611666666666667,-6.403333333333333,0.9833333333333334
turbine_2,2026-01-09 02:00:00+00:00,48,0.9927408590757416,0.9916666666666667,True,False,0.9628097193702942,12.73,-3.4,2026-01-07 19:00:00+00:00,31.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,a487cc2b6e1a9315da2330fa57ea18707cd53be4b982cea35204481102efd30d,gfs_seamless,False,0.01,2.17,-7.296666666666667,0.9816666666666667
turbine_1,2026-01-08 21:00:00+00:00,48,0.9937309876349303,0.9937309876349303,False,False,0.9769763513513514,13.05,-2.8,2026-01-07 19:00:00+00:00,26.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,d9ca0c6a5930d42d4dbeb0eca8311454a62a8d0e173a3ec109b6de3a2c3603ba,gfs_seamless,False,0.013333333333333334,2.638333333333333,-3.355,0.980397654301597
turbine_1,2026-01-08 19:00:00+00:00,48,0.9915390103450203,0.9915390103450203,False,False,0.9669064191802009,12.73,-2.6,2026-01-06 19:00:00+00:00,48.0,2026-01-06 22:00:00,2026-01-07T00:00:00+05:00,820ac38a5b83bc33de4123d17a2f4bfc422bf3396b687177f55a1a2de82ef68a,gfs_seamless,False,0.011666666666666667,3.251666666666667,-1.8466666666666667,0.9798723436783536
turbine_1,2026-01-08 18:00:00+00:00,48,0.9894970994822344,0.9894970994822344,False,False,0.9580129390018484,12.23,-2.5,2026-01-06 19:00:00+00:00,47.0,2026-01-06 22:00:00,2026-01-07T00:00:00+05:00,820ac38a5b83bc33de4123d17a2f4bfc422bf3396b687177f55a1a2de82ef68a,gfs_seamless,False,0.01,1.9816666666666667,-1.3,0.9794970994822344
turbine_1,2026-01-08 23:00:00+00:00,48,0.9893830950560578,0.9893830950560578,False,False,0.9769763513513514,13.24,-3.0,2026-01-07 19:00:00+00:00,28.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,d9ca0c6a5930d42d4dbeb0eca8311454a62a8d0e173a3ec109b6de3a2c3603ba,gfs_seamless,False,0.01,2.276666666666667,-5.663333333333333,0.9793830950560578
turbine_2,2026-01-24 04:00:00+00:00,24,0.9893679696307112,0.9893679696307112,False,False,0.9699395770392749,13.1,-6.3,2026-01-23 19:00:00+00:00,9.0,2026-01-23 22:00:00,2026-01-24T00:00:00+05:00,84a3adf9831577bca5743f9c80448261ce8937304551f161b047ef41f8cbb6f9,gfs_seamless,False,0.01,9.415,-6.948333333333333,0.9793679696307112
turbine_1,2025-12-31 22:00:00+00:00,24,0.010236574812804147,0.010236574812804147,False,False,0.011048448145344437,1.86,2.1,2025-12-31 19:00:00+00:00,3.0,2025-12-31 22:00:00,2026-01-01T00:00:00+05:00,f593fd24f9c9c75249d18ce1aee1a63ff3ad1ce495bf49517b8fce706f8b7b2b,gfs_seamless,False,0.9883333333333333,12.395000000000001,4.316666666666666,0.9780967585205291
turbine_1,2026-01-09 04:00:00+00:00,48,0.9876628858281405,0.9876628858281405,False,False,0.9580129390018484,12.42,-0.8,2026-01-07 19:00:00+00:00,33.0,2026-01-07 22:00:00,2026-01-08T00:00:00+05:00,d9ca0c6a5930d42d4dbeb0eca8311454a62a8d0e173a3ec109b6de3a2c3603ba,gfs_seamless,False,0.01,2.125,-7.010000000000001,0.9776628858281405
